time,topic,topic_value,source
18,6,0.18310929834842682,tonga
18,7,0.07688021659851074,tonga
18,8,0.11015744507312775,tonga
18,9,0.027758166193962097,tonga
0,0,0.041595667600631714,uganda
0,1,0.08553830534219742,uganda
0,2,0.09731394052505493,uganda
0,3,0.25022584199905396,uganda
0,4,0.052401136606931686,uganda
0,5,0.048000626266002655,uganda
0,6,0.19663113355636597,uganda
0,7,0.08359098434448242,uganda
0,8,0.11440633982419968,uganda
0,9,0.03029605746269226,uganda
1,0,0.04166577011346817,uganda
1,1,0.08585075289011002,uganda
1,2,0.09649229794740677,uganda
1,3,0.2513766288757324,uganda
1,4,0.05232064053416252,uganda
1,5,0.04802772402763367,uganda
1,6,0.19613756239414215,uganda
1,7,0.08328872174024582,uganda
1,8,0.11457869410514832,uganda
1,9,0.030261311680078506,uganda
2,0,0.04156847298145294,uganda
2,1,0.0856955423951149,uganda
2,2,0.09645082801580429,uganda
2,3,0.25344282388687134,uganda
2,4,0.05205638334155083,uganda
2,5,0.04772644117474556,uganda
2,6,0.19540458917617798,uganda
2,7,0.08297896385192871,uganda
2,8,0.11460103839635849,uganda
2,9,0.03007502295076847,uganda
3,0,0.04138274863362312,uganda
3,1,0.08565544337034225,uganda
3,2,0.09617960453033447,uganda
3,3,0.25653383135795593,uganda
3,4,0.051828935742378235,uganda
3,5,0.04744414985179901,uganda
3,6,0.19424298405647278,uganda
3,7,0.08243362605571747,uganda
3,8,0.11444161087274551,uganda
3,9,0.029857153072953224,uganda
4,0,0.04121392220258713,uganda
4,1,0.08595176786184311,uganda
4,2,0.09587027877569199,uganda
4,3,0.2606004774570465,uganda
4,4,0.05176238715648651,uganda
4,5,0.04720759391784668,uganda
4,6,0.19171322882175446,uganda
4,7,0.0817728191614151,uganda
4,8,0.11419075727462769,uganda
4,9,0.029716821387410164,uganda
5,0,0.041118934750556946,uganda
5,1,0.08655528724193573,uganda
5,2,0.09551778435707092,uganda
5,3,0.26516738533973694,uganda
5,4,0.05183759704232216,uganda
5,5,0.047045283019542694,uganda
5,6,0.1881156861782074,uganda
5,7,0.08109205216169357,uganda
5,8,0.11388684064149857,uganda
5,9,0.02966315858066082,uganda
6,0,0.04104464128613472,uganda
6,1,0.08718957006931305,uganda
6,2,0.09506678581237793,uganda
6,3,0.26982659101486206,uganda
6,4,0.051899924874305725,uganda
6,5,0.04690055549144745,uganda
