,M0(t=0),M0(t=1),M0(t=2),M0(t=3),M0(t=4),M0(t=5),M0(t=6),M0(t=7),M0(t=8),M0(t=9),M0(t=10),M0(t=11),M0(t=12),M0(t=13),M0(t=14),M0(t=15),M0(t=16),M0(t=17),M0(t=18),M0(t=19),M1(t=0),M1(t=1),M1(t=2),M1(t=3),M1(t=4),M1(t=5),M1(t=6),M1(t=7),M1(t=8),M1(t=9),M1(t=10),M1(t=11),M1(t=12),M1(t=13),M1(t=14),M1(t=15),M1(t=16),M1(t=17),M1(t=18),M1(t=19),M2(t=0),M2(t=1),M2(t=2),M2(t=3),M2(t=4),M2(t=5),M2(t=6),M2(t=7),M2(t=8),M2(t=9),M2(t=10),M2(t=11),M2(t=12),M2(t=13),M2(t=14),M2(t=15),M2(t=16),M2(t=17),M2(t=18),M2(t=19),M3(t=0),M3(t=1),M3(t=2),M3(t=3),M3(t=4),M3(t=5),M3(t=6),M3(t=7),M3(t=8),M3(t=9),M3(t=10),M3(t=11),M3(t=12),M3(t=13),M3(t=14),M3(t=15),M3(t=16),M3(t=17),M3(t=18),M3(t=19),M4(t=0),M4(t=1),M4(t=2),M4(t=3),M4(t=4),M4(t=5),M4(t=6),M4(t=7),M4(t=8),M4(t=9),M4(t=10),M4(t=11),M4(t=12),M4(t=13),M4(t=14),M4(t=15),M4(t=16),M4(t=17),M4(t=18),M4(t=19)
night,0.0006295543,0.0013066682,0.00093938375,0.00093659206,0.0012078724,0.0019951914,0.0048670704,0.0007062328,0.0032446194,0.0017542574,0.0044622426,0.0017781028,0.0014219591,0.0019535518,0.00089968403,0.0039065233,0.0031407564,0.002276873,0.0014838099,0.0013721792,0.001281882,0.0017091502,0.0021413893,0.002777398,0.0017672003,0.0014416892,0.001018224,0.0019471205,0.001419866,0.0014568262,0.0020968209,0.0042177346,0.0015485949,0.0033089134,0.0016075831,0.0018160734,0.003409295,0.0025771218,0.0017052661,0.0016400898,0.0020773567,0.0024616783,0.0016070125,0.0014383672,0.0029893315,0.002930525,0.0014505978,0.0015870165,0.00093752943,0.0027159734,0.0027389748,0.0017938054,0.0010941477,0.0022603222,0.002091447,0.0017904515,0.0030597716,0.0011795413,0.00057044084,0.0029662547,0.0034351328,0.0012025336,0.0026403537,0.0010424815,0.0013489209,0.0020567107,0.00078007,0.0016477344,0.0023653584,0.0016805452,0.00266976,0.0019735375,0.0005619827,0.0023788486,0.0031221858,0.0034240063,0.0027285973,0.0010955121,0.002628134,0.0019418125,0.0012866578,0.0018580982,0.0025737693,0.0033490118,0.003302852,0.0012301861,0.0030346583,0.0020591149,0.0014585658,0.0019471542,0.0010395426,0.0028075892,0.0033209617,0.0011819724,0.0007709138,0.0014077907,0.002794364,0.0026556733,0.0036829065,0.0010629364
districts,0.00082377053,0.0017795335,0.0009978556,0.0021084615,0.0020739818,0.00092679437,0.0046529695,0.0012088359,0.002569646,0.004053074,0.0010131547,0.0018363865,0.0011135164,0.0012145329,0.0024465197,0.0031801981,0.0009835961,0.0044254814,0.0017361093,0.0022893583,0.0016028655,0.0015779729,0.0017375266,0.0032335022,0.002685661,0.00071980496,0.0029196462,0.0009667093,0.0015840483,0.0029924114,0.001693341,0.0016218171,0.0023334788,0.004312332,0.0019512093,0.0010017952,0.0023446032,0.0010119197,0.0009413035,0.0013565674,0.0038934594,0.0017133945,0.0015805874,0.00087330496,0.0020895246,0.0018603721,0.0028114652,0.001301044,0.0017469797,0.0018820242,0.0016450813,0.0013196396,0.0016730066,0.0012942742,0.0011861776,0.0015155853,0.0010616845,0.0006538384,0.0019420307,0.001007922,0.0013211799,0.0018229377,0.00096272887,0.0010566853,0.00076291803,0.0014707517,0.0017456242,0.0011896873,0.0009617573,0.0037781845,0.0027920643,0.0019511097,0.0020321812,0.0009211563,0.0034711782,0.0027917584,0.0015050201,0.0033522206,0.0005724257,0.0021109567,0.0026082457,0.0013062856,0.0010258819,0.00079521636,0.0026439964,0.0007670752,0.0022666533,0.0017402787,0.0064034523,0.0020558927,0.0012392811,0.002675501,0.003577997,0.0013357208,0.0027825981,0.0023777087,0.0026429845,0.0035871381,0.001977828,0.002053792
permanent,0.00060457154,0.00071287894,0.0007228937,0.00077629735,0.0012904212,0.0029895802,0.004619249,0.0025601124,0.0021340067,0.0024309938,0.001848454,0.002430802,0.0020373478,0.0023218445,0.0024385483,0.0014501861,0.0027640078,0.0007000606,0.0021749712,0.0018440989,0.0009198844,0.003462624,0.0036205295,0.001100092,0.0019685335,0.001504804,0.0016437516,0.0012647664,0.0016930909,0.0016919869,0.001979818,0.0029194271,0.003241931,0.0020684274,0.0011393353,0.0028288637,0.0012516136,0.0031481553,0.0013289112,0.004124381,0.0015210869,0.0010415334,0.0014689354,0.0016319678,0.002457657,0.0009916553,0.0016146706,0.0015270017,0.0025904183,0.0009760611,0.0032094866,0.0018187225,0.0024137858,0.001316998,0.0016166832,0.0015803613,0.0014531371,0.0013743978,0.0017653442,0.0019049547,0.0022653786,0.0018944915,0.0017527834,0.00085369305,0.0006194474,0.0016240024,0.0009830764,0.0015418794,0.0030272028,0.0020817483,0.0039496184,0.0009003323,0.0014723833,0.0018299514,0.0027303824,0.0020528408,0.0013114068,0.0022451421,0.002381401,0.002854852,0.0013196934,0.0023259479,0.002442178,0.0018104258,0.0022300712,0.0016160839,0.0015230319,0.00082266633,0.0010084332,0.0013932072,0.00050352287,0.0018329986,0.0032361522,0.0021353005,0.001805376,0.0010033898,0.0023404001,0.0027570478,0.0011770305,0.0013530464
authority,0.0005007242,0.00082912523,0.0008416122,0.0011061339,0.00057919516,0.0030716648,0.0044570076,0.0007334591,0.0027393717,0.0017267978,0.0023568643,0.0026868975,0.0018670965,0.0016551183,0.0027575076,0.0017991847,0.0015084358,0.0010919494,0.0034111512,0.0036175547,0.0012204193,0.0018424607,0.002900283,0.0008434646,0.003367691,0.0009950799,0.0021334782,0.0015013297,0.0008541847,0.0029747274,0.0012077413,0.0036844378,0.0022785359,0.004014922,0.0028265265,0.001876023,0.002738684,0.0011122803,0.0026663688,0.0020754524,0.0026552188,0.0012280635,0.0018116842,0.0019970294,0.0008043766,0.0026403214,0.002063987,0.0011665456,0.00061885605,0.001131012,0.0006722226,0.003537446,0.0044457456,0.0017403505,0.0013642134,0.0021653054,0.00239799,0.0031600702,0.0061578224,0.002854389,0.0029414357,0.0026759168,0.001554492,0.0028753541,0.0006532403,0.0019168073,0.0010526914,0.0019373641,0.0030013358,0.0023912885,0.0018280784,0.0013669948,0.0013081025,0.0010624375,0.0011743804,0.00074503454,0.001146028,0.0018577782,0.0015426239,0.001152146,0.0013030795,0.001377014,0.0030028815,0.0020040101,0.0032819302,0.0024606204,0.001131084,0.004256585,0.0032146075,0.0026530582,0.0026811708,0.0016332301,0.0037838677,0.0011818816,0.0028925997,0.0019234895,0.002960444,0.0016918725,0.0014614603,0.0016213055
euros,0.0004880837,0.00052032573,0.00061852206,0.0003790334,0.0013158091,0.0008993096,0.0043790718,0.0016279614,0.0020243349,0.0020393387,0.002467683,0.0028075017,0.0019464999,0.0009345301,0.0023763336,0.0008918129,0.0011582391,0.004541681,0.0010743281,0.0011091424,0.0024718961,0.0016875967,0.00054881093,0.0010134847,0.0040056836,0.0024865973,0.0016961677,0.0032586467,0.0016232915,0.003792055,0.0026663395,0.0013698936,0.0012415296,0.002363385,0.002559217,0.00065108883,0.002910993,0.0043726508,0.0022450858,0.0017214806,0.00091550767,0.0014757836,0.001624508,0.002051537,0.0019287062,0.001460984,0.0014097929,0.0010115367,0.0011602362,0.0034249034,0.0012819142,0.0024330628,0.0024312327,0.0017318542,0.0012158495,0.0013990231,0.0029777335,0.002941731,0.0014950088,0.0030690876,0.00298878,0.0022452567,0.0042629503,0.003834998,0.005357504,0.0015362444,0.0027765683,0.002630027,0.0014871552,0.0015247805,0.0037498225,0.00055979606,0.0031323726,0.0017550498,0.0018693832,0.0038319675,0.0021994233,0.0021186909,0.0005219927,0.0012299307,0.0015425055,0.0010147142,0.002671337,0.0011581526,0.002825794,0.0015209613,0.0016285286,0.0032478126,0.0014372951,0.002897062,0.0014572269,0.0014446782,0.003266943,0.0012970616,0.0016264503,0.0019220406,0.001828442,0.0037528223,0.0012623073,0.002486046
plan,0.0009521061,0.0014901372,0.0019482191,0.0005765909,0.0011989905,0.002615085,0.0017884262,0.0011138046,0.0013598755,0.002391248,0.0009633992,0.008303287,0.0030913549,0.0008169283,0.0018461951,0.0026128225,0.0028491574,0.0014460678,0.0015791927,0.006184414,0.0016734579,0.0027790547,0.0007368948,0.0022598174,0.0006605193,0.0019666613,0.003984968,0.001085109,0.004665301,0.0019033337,0.0012268125,0.0038080742,0.001885582,0.0028797009,0.0018722012,0.0011526638,0.0021032114,0.0026114155,0.0015039943,0.001985351,0.0017026651,0.0052319667,0.0030260575,0.0016395723,0.002011024,0.0012041369,0.0007796133,0.0018550638,0.00414792,0.0037271832,0.00093583623,0.0010321866,0.002278587,0.0025609818,0.0025490336,0.0012515064,0.0019177442,0.0018845776,0.0011314849,0.0022083675,0.0019504115,0.0014569055,0.0017286625,0.0010921981,0.002516053,0.002875472,0.0007957694,0.0011608748,0.0022406266,0.00090966193,0.0024544059,0.0018404184,0.0017481226,0.00159527,0.0014941638,0.0026471568,0.0009949731,0.0011481578,0.0031658208,0.0014513572,0.0024868983,0.003989745,0.001405417,0.0035494696,0.0037183429,0.0017316131,0.0014457123,0.0021775225,0.0018667509,0.0031344583,0.0023908278,0.0018380325,0.00077850523,0.0042993426,0.0039817058,0.00062305864,0.0010369421,0.0015473537,0.00073909614,0.0051601552
times,0.0006250701,0.00071707065,0.00071323925,0.0012824207,0.0010987597,0.0023069195,0.0024625368,0.002319593,0.0016417062,0.0046953415,0.0014061915,0.0069323056,0.0007889084,0.0012080584,0.0013707367,0.0026239844,0.0011419035,0.002630195,0.002161802,0.0011536638,0.0020455127,0.0009882838,0.001934658,0.0010422445,0.0013814095,0.001544537,0.002880182,0.0033532947,0.0026170886,0.0016916053,0.0031465313,0.0011870816,0.0023245777,0.0015155942,0.0007847161,0.0027163804,0.00260135,0.0018494697,0.0010413452,0.00054438657,0.002067837,0.003113294,0.002080256,0.0013884233,0.0009389275,0.0029652985,0.0025020891,0.0017603659,0.0026916815,0.001336844,0.002779576,0.0021446273,0.0012649643,0.0027459858,0.0012380374,0.0014453434,0.001899386,0.0018669782,0.0026655907,0.0009340633,0.0011143388,0.0015018582,0.002191409,0.004272986,0.0028455763,0.0012647709,0.0017349856,0.0020643014,0.0014719719,0.0017222493,0.0013648786,0.001193802,0.0015124616,0.0017910071,0.0023663812,0.0034389843,0.0053159557,0.0038587,0.0012575889,0.0025636202,0.0023751438,0.0028854634,0.0030075635,0.0018782694,0.0005676283,0.0013767664,0.0046723993,0.00302367,0.0015177268,0.0012750797,0.0026822314,0.0033078515,0.0007960398,0.0024422659,0.0019857285,0.0020937258,0.002308402,0.0022295879,0.0033005616,0.0013824914
solomon,0.0008158265,0.0019308112,0.00082970754,0.00066556,0.0010780755,0.0019545858,0.002595619,0.001456969,0.0019055248,0.0017122591,0.0023382693,0.0061098337,0.0012202671,0.0026136555,0.0019406861,0.0022625015,0.0013379803,0.0016815946,0.0010277039,0.0021769733,0.0013637141,0.0018723934,0.00103036,0.0026442532,0.0030149238,0.0028912423,0.0007119349,0.0017667795,0.0011322587,0.00469159,0.0021605464,0.000849818,0.0015957879,0.0020208422,0.0027094851,0.0015389804,0.0020383985,0.0036470024,0.0020819127,0.0008925294,0.00079517404,0.0016643167,0.0038116304,0.0011833549,0.00082092354,0.0007773556,0.001610262,0.003110264,0.0011647445,0.0008639587,0.0012409991,0.0015266074,0.00233566,0.002732484,0.0019647514,0.0010255161,0.0016471413,0.0013812749,0.002144139,0.0012899333,0.0018565143,0.0028178294,0.0016337194,0.002402128,0.0026512844,0.0019409072,0.0017700786,0.003268021,0.000874736,0.002844839,0.0033881445,0.0009141551,0.0021350642,0.0025242483,0.0030937428,0.002718529,0.0029417067,0.0026307688,0.0010367671,0.00082521077,0.0030474332,0.0017950195,0.0020555556,0.0018607927,0.0017797737,0.0022689484,0.002583181,0.001328104,0.0020452687,0.0018451107,0.0011705728,0.0018904101,0.0015004345,0.0027671305,0.0044635297,0.00093500497,0.0010571008,0.0017945284,0.004470059,0.0023109587
set,0.0018944066,0.0020311049,0.0014953132,0.0027517623,0.002357283,0.0033589785,0.0022665947,0.003444799,0.0021678782,0.0027517362,0.0010474803,0.005925798,0.0018132257,0.0014833559,0.0029557806,0.0025189782,0.0009245238,0.0021265477,0.0030529944,0.0009432279,0.0022990792,0.0013851187,0.0060736733,0.0016929333,0.0010073258,0.0023060169,0.00269071,0.0016750956,0.0038175727,0.0010797189,0.0019154762,0.001242048,0.0018355167,0.005133016,0.0015708976,0.002764559,0.0012435941,0.00083381776,0.0018663374,0.0009438663,0.0017270816,0.0020642371,0.0029707418,0.0026488751,0.0025315294,0.0022427575,0.002016225,0.0019353357,0.0042826827,0.0012311622,0.0017572606,0.000751691,0.0022772385,0.0027919512,0.0013639276,0.0018356718,0.0025795698,0.0023049624,0.003745145,0.0020857397,0.0011477631,0.0011384024,0.001327719,0.0014407877,0.0014030479,0.0014990617,0.002832846,0.00199724,0.0014855026,0.0024877472,0.0018889068,0.0024345599,0.004947256,0.0010689159,0.0010186395,0.0013122287,0.0014067136,0.0019144505,0.0011187966,0.0019513734,0.0007834759,0.0015541867,0.0019144405,0.0016451087,0.0013561047,0.0016173803,0.0039403443,0.0027299104,0.0011658212,0.0032524127,0.0011486232,0.0015779289,0.0038274082,0.0036197247,0.0021060894,0.0012714278,0.0014322951,0.0021346777,0.0017106994,0.0018800827
training,0.0010214329,0.001407189,0.00088627584,0.0012581731,0.0014434838,0.0029483142,0.0014440436,0.0013714917,0.0020957317,0.0024904846,0.0038489683,0.0056899213,0.0014560197,0.0018216749,0.0018352744,0.0020123634,0.0017373458,0.0014799808,0.0024267524,0.0008216059,0.0022169354,0.0048574153,0.0019499587,0.00063967466,0.0016643711,0.0019226786,0.003062149,0.0012907365,0.002130298,0.0015113979,0.001495072,0.002335864,0.0024951468,0.003481175,0.001766379,0.0035780584,0.0016484279,0.0014255276,0.0020840254,0.0011305566,0.0025778199,0.0018022298,0.0027812845,0.0019030666,0.0020034031,0.0024625217,0.0018434072,0.002593777,0.0016790131,0.0018328432,0.0012091006,0.00336131,0.001517853,0.001994552,0.0012434134,0.0010521803,0.0018718028,0.0035591116,0.0014269019,0.003442185,0.0004875409,0.0018716216,0.0017161963,0.004003903,0.0067262314,0.0023673193,0.0013211087,0.0033683875,0.0016682666,0.0022637248,0.003920561,0.0015340594,0.0026266782,0.0027287963,0.0019190077,0.0017648139,0.0018997941,0.0010503412,0.0021065315,0.0022802264,0.0021617434,0.00331658,0.0018821849,0.0007225502,0.0013728121,0.0022509578,0.0025544134,0.0009895561,0.0018794592,0.0023024683,0.0042148284,0.0013815815,0.0018382075,0.0030757443,0.0020437478,0.000870189,0.0018157613,0.0035511663,0.0025919033,0.0019862212
month,0.0006897356,0.0015535922,0.0014100482,0.0009859969,0.0010101703,0.0021235603,0.0023154858,0.002031688,0.0021254863,0.0018085572,0.0011442865,0.0053706835,0.003093986,0.0029980445,0.0008700683,0.0005791911,0.0026397016,0.0020761937,0.0040135593,0.0008550009,0.00090449746,0.0024120111,0.0015335532,0.004081501,0.001385532,0.0020792964,0.0027664374,0.0019022784,0.003928695,0.0044466145,0.0018925789,0.0030889057,0.0009932048,0.0021744873,0.0018459675,0.0010788102,0.0017780315,0.0017903782,0.0027404602,0.0010591518,0.0018606014,0.0017578213,0.0017740822,0.000857598,0.0015783538,0.0013315342,0.0010540757,0.0018290328,0.0015005507,0.0064851632,0.001362354,0.0015851409,0.001141781,0.001190698,0.002170464,0.0010367513,0.001069608,0.003822198,0.0033829361,0.0019795266,0.001613574,0.001823588,0.0010993272,0.0022211422,0.0019491288,0.002686087,0.0013011487,0.0017412113,0.0025922023,0.0010463245,0.0027304548,0.0013204735,0.00061291177,0.0009227547,0.0011416257,0.0011236868,0.0022185915,0.0023478388,0.003691884,0.0030577101,0.0020303885,0.0026262896,0.0010448194,0.0016651116,0.0006082427,0.0018992983,0.0009929858,0.0013886035,0.002899155,0.00089581776,0.0026027947,0.0019182874,0.0012739216,0.002120793,0.0025052994,0.0028148144,0.0025118068,0.0013391289,0.0019146809,0.0025754543
asked,0.0012360909,0.0011736795,0.00077426544,0.0008673114,0.0009082347,0.0027204773,0.0029198672,0.0012591666,0.0022950473,0.0011124786,0.0013367437,0.0051496592,0.002714116,0.0015850778,0.0019320323,0.0011147727,0.0017163927,0.0029150008,0.003341396,0.0011948227,0.0028627834,0.0010388342,0.0022350638,0.0021956046,0.0013884511,0.0014818184,0.0028794822,0.0008938641,0.00091482844,0.0017095836,0.0032876334,0.0020469148,0.0026730981,0.0009602779,0.0027291703,0.002415333,0.0011510515,0.0017753111,0.0015364141,0.0021429528,0.0038409268,0.0030379354,0.0017468445,0.001292802,0.0027996902,0.0019035836,0.0014876507,0.0024927438,0.0022533466,0.0015350638,0.0036990936,0.0059869313,0.0015339456,0.0014800171,0.0027263977,0.0008052767,0.0021371362,0.0013766051,0.0024926427,0.0014406985,0.0023386632,0.0011159251,0.0030042427,0.0019478786,0.0016222222,0.0022899664,0.00127799,0.002758851,0.0025980752,0.0031976309,0.00228831,0.0013926359,0.004574895,0.0017258532,0.0012634658,0.002590068,0.0021008651,0.0033207035,0.004846595,0.002172681,0.0024012,0.00090343767,0.002976421,0.0014032671,0.0021326644,0.0023649617,0.00056797004,0.0012044708,0.0020188515,0.0014671984,0.002969651,0.0008926864,0.0024414526,0.0011652014,0.0015191782,0.0019860233,0.0020999194,0.0016332051,0.002118791,0.0019523223
medicines,0.0009397828,0.0014790224,0.0005486433,0.0011359301,0.0008658572,0.0019864535,0.0024353215,0.0032522383,0.0012794104,0.0007874486,0.0018799229,0.005086595,0.00093478675,0.003195452,0.0012356375,0.0011512081,0.0016931448,0.0030923511,0.0021873931,0.00071645057,0.0009145744,0.00072080496,0.001875855,0.0033635024,0.0007592926,0.0011505819,0.0029124082,0.0028709571,0.0035896103,0.001290215,0.0016568969,0.0007842706,0.00036681295,0.0016604343,0.0012203163,0.0016341563,0.0032537598,0.0013737719,0.0013205224,0.0012173877,0.000876809,0.0020464384,0.002870503,0.0015119422,0.002765825,0.0014175128,0.0011531966,0.0018953603,0.002967161,0.0025131092,0.0010766172,0.0015519448,0.0010716639,0.0056084455,0.002167226,0.0013620832,0.00093807623,0.0035409646,0.0014294663,0.002094102,0.0010347427,0.0032329543,0.002181671,0.003728735,0.001704625,0.0019103239,0.0031886457,0.0014427744,0.00055196905,0.0023252484,0.0014300727,0.0024125709,0.0015761007,0.0011344453,0.001357085,0.002214953,0.0020572122,0.0011946296,0.0014100219,0.0012848063,0.0035270534,0.002749651,0.0013592023,0.0014175392,0.0012897963,0.0020657748,0.0045860074,0.0013639219,0.0013085958,0.0036781724,0.0021324556,0.0019057345,0.0018779146,0.0016316131,0.0029487873,0.0021144652,0.0017106596,0.0010634742,0.002150929,0.0023848803
assistance,0.0010451465,0.0012657809,0.0017342562,0.0017899058,0.0012028876,0.0012402307,0.0017353256,0.0057353354,0.0030730867,0.0022933183,0.0032318227,0.0050564287,0.0017777384,0.0023175692,0.0012763808,0.0013749917,0.0019023331,0.0027315596,0.0012164358,0.0008175601,0.000619881,0.0017364502,0.002261998,0.0011400479,0.0006165176,0.0007594932,0.0015937522,0.0024124759,0.0013754109,0.001790368,0.00240753,0.001208246,0.00078594073,0.0033604691,0.0014159379,0.0029257578,0.0027144467,0.0017645856,0.0015751333,0.003111147,0.002315589,0.0018562911,0.0021756955,0.0025839515,0.0020252217,0.002095177,0.0018861344,0.0031002678,0.0026855494,0.0037339926,0.00140416,0.0012274263,0.0007753297,0.00217639,0.0019986383,0.0009169627,0.0011723168,0.002721953,0.0017775738,0.002763666,0.0015931758,0.0020270948,0.002027156,0.0047589,0.0028174417,0.00076102384,0.0012460733,0.0011868922,0.004456151,0.0022891427,0.0014782994,0.0027303717,0.0016695152,0.0028288167,0.001539712,0.0031107864,0.0028633594,0.001605606,0.002930698,0.0021737178,0.0010721948,0.001546541,0.0011938572,0.0015008724,0.0015880781,0.0031064884,0.00074268394,0.001349319,0.0034707075,0.0025300134,0.0019404455,0.0027515106,0.0010588993,0.003104004,0.0020502647,0.0012015813,0.003535884,0.0007592342,0.0020196997,0.0013284556
jobs,0.001089136,0.00089526974,0.0008976986,0.0012303538,0.0014748947,0.002623777,0.0014769696,0.00095101545,0.0020194743,0.00088623184,0.00086236146,0.004544442,0.0010147603,0.001583437,0.0018924184,0.0015800983,0.0017200237,0.0014794107,0.0018907101,0.0008807027,0.0024584257,0.002422583,0.0033495412,0.0022031588,0.0025063239,0.0036383627,0.0014667781,0.0019245406,0.0027713538,0.0024230045,0.0018610538,0.001302715,0.00060341065,0.0009627629,0.0026959248,0.00053155475,0.002604458,0.0016400286,0.0005900073,0.0018286174,0.0015695839,0.0020416153,0.0011363382,0.00091509137,0.0015049862,0.0022216027,0.00077637675,0.0022319644,0.0037212372,0.000717625,0.001609419,0.001865038,0.0023496817,0.0006764731,0.0017710098,0.0030059973,0.0017626355,0.004227559,0.0023969167,0.000969014,0.0017275115,0.0012910096,0.0036050777,0.0020186838,0.006219177,0.0015099159,0.0010823852,0.0013126105,0.0010073872,0.0064911596,0.0011485164,0.001118921,0.0016256663,0.0025809917,0.001616084,0.0029098964,0.0017737396,0.0011917878,0.0033792881,0.0013225239,0.0012591649,0.0005459633,0.00077036425,0.001663057,0.0020780878,0.0018329532,0.0010334477,0.0013610326,0.0018890636,0.0022302459,0.00376877,0.00087538484,0.0018910032,0.002274638,0.0014285442,0.001805548,0.0018269756,0.0030612492,0.002749718,0.0014687899
island,0.0027477585,0.0014307048,0.0016904377,0.0015756607,0.0016989287,0.0012786277,0.00090293895,0.0027584687,0.0009909233,0.0031147066,0.0020386728,0.0018783719,0.0044205263,0.0030401365,0.0028051562,0.0019055877,0.0108327065,0.0016248347,0.0027961037,0.0018368738,0.0027617207,0.0016570638,0.003360404,0.0017893984,0.0017478064,0.002148995,0.0027717352,0.0008040337,0.0007764411,0.002692081,0.002292624,0.000862637,0.0037195436,0.0023197078,0.002356827,0.0036495614,0.002642997,0.001826048,0.0013451951,0.0036797344,0.0023086553,0.0025717707,0.002189606,0.0015531977,0.0009846642,0.0023928261,0.002751358,0.0011472354,0.0020597454,0.002038544,0.0018870455,0.0031347333,0.0014386845,0.0017166346,0.0011654081,0.0009474835,0.004886872,0.0024924357,0.0039807204,0.0007024977,0.0011690651,0.002994533,0.0005275358,0.0019378561,0.0018762714,0.0011345159,0.0016909402,0.0030214966,0.0013504402,0.0009281304,0.0009672769,0.00080739195,0.0060431533,0.0021028589,0.0014435564,0.0020342679,0.0006931003,0.0009784827,0.0014899934,0.0020195195,0.0021688535,0.0018205673,0.0016034436,0.001175646,0.0012002627,0.002546531,0.0026717538,0.005063749,0.0014922267,0.0011198603,0.0009541617,0.0017473069,0.0028744726,0.0024040947,0.0017867773,0.0016844773,0.0014873003,0.001962723,0.0016063098,0.0022661428
personnel,0.0010980546,0.0012753622,0.0007042594,0.0009393198,0.0017144148,0.0016073579,0.0015170125,0.00059867115,0.0013613282,0.004204636,0.0035425373,0.0011339774,0.0029731945,0.0011016331,0.0035781413,0.0016010775,0.0061225817,0.0025201007,0.0037447945,0.0011827957,0.004031881,0.0013238665,0.0013969042,0.0026422963,0.0011283897,0.00258041,0.002558857,0.0011681373,0.0021099471,0.002652972,0.0032456047,0.0030600897,0.0032312456,0.0023304964,0.0013927676,0.0016626633,0.0040869205,0.0010735886,0.0012573814,0.0035754526,0.00086610916,0.002008808,0.0013011558,0.002580661,0.0018213423,0.003512229,0.0014653135,0.0019919807,0.0022437416,0.0014503376,0.0040761507,0.0016900167,0.0018727737,0.0014563961,0.0037146453,0.00080635655,0.0021877133,0.0028859153,0.00073657994,0.0012912157,0.0038377137,0.0014617905,0.003030507,0.0010513411,0.0025999504,0.0033482749,0.0024275633,0.0014650499,0.0021012984,0.002773669,0.0011742455,0.0020198913,0.0021570309,0.001718798,0.0012538254,0.0010825996,0.0010237226,0.0029870677,0.0017568032,0.0017556113,0.001019367,0.006745295,0.002188803,0.0021526641,0.0023944064,0.0021674535,0.0015446733,0.002115792,0.0011448837,0.0022099183,0.0013300533,0.0019055677,0.0029954966,0.0022144539,0.002463668,0.0014104671,0.00077115564,0.0019586587,0.0019136746,0.0018252905
events,0.0009369487,0.0012340354,0.0012136988,0.0012373506,0.0014634444,0.001929491,0.0025917988,0.0007530323,0.001582939,0.000966572,0.0031909747,0.002207349,0.0034779038,0.001872349,0.0025405155,0.0012541107,0.005289866,0.005794335,0.0012257943,0.0012726353,0.0014220446,0.0022004568,0.0023909232,0.0016621953,0.0007719593,0.00058478705,0.0023853248,0.0035462736,0.00088396476,0.0033068873,0.0011901716,0.003918,0.0010919212,0.0017149807,0.003136177,0.0013532328,0.0026027712,0.0005219242,0.00060698175,0.0030432509,0.0010337103,0.0006504654,0.0016530607,0.0013296879,0.0030038524,0.0016485899,0.0008023714,0.0021077849,0.002330914,0.0010468522,0.001710879,0.0018412586,0.0011635289,0.0005517446,0.0014481012,0.001736989,0.002462666,0.0016541535,0.0046148556,0.0025505675,0.0020735736,0.002133113,0.0011417338,0.0017546366,0.00187074,0.001394612,0.0022614643,0.0014113522,0.00252112,0.0046240953,0.0014686859,0.002210511,0.0023824577,0.0015291637,0.0020301598,0.003532815,0.002703305,0.0008410181,0.0011403473,0.0011244658,0.0006396556,0.0006532915,0.0007452634,0.001771853,0.0024592187,0.0022190907,0.0026950233,0.0011790537,0.0026244367,0.00162129,0.002268348,0.0020115536,0.001971895,0.0022192788,0.0031032802,0.0016470982,0.0038660984,0.0024488468,0.00089830806,0.002867041
mozambique,0.0006066588,0.0005350343,0.0010323785,0.0007140556,0.0006539717,0.0013104931,0.0025951215,0.0010461445,0.0022076552,0.0015931657,0.0038828095,0.002037877,0.001833107,0.0016576712,0.003638771,0.0011756807,0.005256705,0.0016850472,0.0024825041,0.0017762621,0.003249651,0.001765121,0.0007510536,0.0042286552,0.0017826151,0.0011029957,0.002697847,0.0023437303,0.0014048421,0.0023973573,0.0018188551,0.0015569992,0.0032803866,0.0034977214,0.004169635,0.0015404171,0.0025947776,0.00236161,0.0014013062,0.0037761573,0.00063807133,0.0016951858,0.0019172449,0.0014108501,0.0043761763,0.003083363,0.00094128324,0.0026918233,0.00057404645,0.002172496,0.002227865,0.0015055118,0.0018767089,0.0014096102,0.0012260849,0.0009974893,0.002720732,0.0056794947,0.0023964227,0.0021784373,0.0016662087,0.0036682426,0.0017259329,0.0043646665,0.0009794073,0.003705019,0.0012468182,0.0007611457,0.0012686758,0.0018325938,0.0032019333,0.001953581,0.0018466477,0.0028843738,0.0012411252,0.0026875942,0.0017938623,0.0020054209,0.0014838199,0.0016973462,0.0018491212,0.001530871,0.0010074511,0.0014388454,0.0019351706,0.0017585005,0.0019113087,0.0019590135,0.0036779996,0.002067274,0.0019561627,0.0014451207,0.00192659,0.0011127947,0.0013733164,0.0026694525,0.002068857,0.0031537912,0.0016466845,0.0021535857
