source,time,topic,topic_value
sint maarten,4,4,0.3018011152744293
sint maarten,5,0,0.06306274235248566
sint maarten,5,1,0.2560988962650299
sint maarten,5,2,0.1556982547044754
sint maarten,5,3,0.22026154398918152
sint maarten,5,4,0.3048785924911499
sint maarten,6,0,0.06285439431667328
sint maarten,6,1,0.2545870542526245
sint maarten,6,2,0.15538299083709717
sint maarten,6,3,0.2190006822347641
sint maarten,6,4,0.3081747591495514
sint maarten,7,0,0.06269338726997375
sint maarten,7,1,0.2532159686088562
sint maarten,7,2,0.15485894680023193
sint maarten,7,3,0.21730585396289825
sint maarten,7,4,0.31192585825920105
sint maarten,8,0,0.06256536394357681
sint maarten,8,1,0.25173699855804443
sint maarten,8,2,0.1545252799987793
sint maarten,8,3,0.21581043303012848
sint maarten,8,4,0.3153619170188904
sint maarten,9,0,0.06246814876794815
sint maarten,9,1,0.2503654658794403
sint maarten,9,2,0.15431931614875793
sint maarten,9,3,0.21447177231311798
sint maarten,9,4,0.31837546825408936
sint maarten,10,0,0.06239692494273186
sint maarten,10,1,0.2491450011730194
sint maarten,10,2,0.15420196950435638
sint maarten,10,3,0.21329684555530548
sint maarten,10,4,0.320959210395813
sint maarten,11,0,0.062308426946401596
sint maarten,11,1,0.24804697930812836
sint maarten,11,2,0.1540573239326477
sint maarten,11,3,0.21197472512722015
sint maarten,11,4,0.3236125707626343
sint maarten,12,0,0.06223965436220169
sint maarten,12,1,0.24703675508499146
sint maarten,12,2,0.15396901965141296
sint maarten,12,3,0.21095818281173706
sint maarten,12,4,0.32579633593559265
sint maarten,13,0,0.06218251958489418
sint maarten,13,1,0.2462368607521057
sint maarten,13,2,0.1539488136768341
sint maarten,13,3,0.21016617119312286
sint maarten,13,4,0.32746556401252747
sint maarten,14,0,0.062137749046087265
sint maarten,14,1,0.2456202358007431
sint maarten,14,2,0.15396371483802795
sint maarten,14,3,0.20956376194953918
sint maarten,14,4,0.3287145495414734
sint maarten,15,0,0.062103521078825
sint maarten,15,1,0.24515248835086823
sint maarten,15,2,0.15399760007858276
sint maarten,15,3,0.20912396907806396
sint maarten,15,4,0.3296223282814026
sint maarten,16,0,0.06207813322544098
sint maarten,16,1,0.2448032796382904
sint maarten,16,2,0.15404100716114044
sint maarten,16,3,0.20882390439510345
sint maarten,16,4,0.33025360107421875
sint maarten,17,0,0.06206030026078224
sint maarten,17,1,0.24454768002033234
sint maarten,17,2,0.15408824384212494
sint maarten,17,3,0.20864331722259521
sint maarten,17,4,0.33066046237945557
sint maarten,18,0,0.06204908713698387
sint maarten,18,1,0.2443656623363495
sint maarten,18,2,0.15413613617420197
sint maarten,18,3,0.2085643857717514
sint maarten,18,4,0.3308846950531006
nicaragua,0,0,0.06441592425107956
nicaragua,0,1,0.2608175277709961
nicaragua,0,2,0.15625225007534027
nicaragua,0,3,0.22359953820705414
nicaragua,0,4,0.29491493105888367
nicaragua,1,0,0.0642462894320488
nicaragua,1,1,0.25976449251174927
nicaragua,1,2,0.15639185905456543
nicaragua,1,3,0.22302907705307007
nicaragua,1,4,0.2965683937072754
nicaragua,2,0,0.06416689604520798
nicaragua,2,1,0.25877368450164795
nicaragua,2,2,0.1566459834575653
nicaragua,2,3,0.22272096574306488
nicaragua,2,4,0.29769256711006165
nicaragua,3,0,0.06376668810844421
nicaragua,3,1,0.25821182131767273
nicaragua,3,2,0.15645618736743927
nicaragua,3,3,0.22227782011032104
nicaragua,3,4,0.29928743839263916
nicaragua,4,0,0.06336823105812073
nicaragua,4,1,0.25734373927116394
nicaragua,4,2,0.15608368813991547
nicaragua,4,3,0.22140319645404816
nicaragua,4,4,0.3018011152744293
nicaragua,5,0,0.06306274235248566
nicaragua,5,1,0.2560988962650299
nicaragua,5,2,0.1556982547044754
nicaragua,5,3,0.22026154398918152
nicaragua,5,4,0.3048785924911499
nicaragua,6,0,0.06285439431667328
nicaragua,6,1,0.2545870542526245
nicaragua,6,2,0.15538299083709717
nicaragua,6,3,0.2190006822347641
nicaragua,6,4,0.3081747591495514
nicaragua,7,0,0.0626414492726326
nicaragua,7,1,0.25130805373191833
nicaragua,7,2,0.15663014352321625
nicaragua,7,3,0.21790562570095062
nicaragua,7,4,0.3115147352218628
nicaragua,8,0,0.0626913532614708
nicaragua,8,1,0.2485189437866211
nicaragua,8,2,0.15679986774921417
nicaragua,8,3,0.21650062501430511
nicaragua,8,4,0.31548914313316345
nicaragua,9,0,0.06278900057077408
nicaragua,9,1,0.24608071148395538
nicaragua,9,2,0.15698422491550446
nicaragua,9,3,0.21517209708690643
